Approved symbol	Previous symbols	RefSeq IDs	NCBI Gene ID(supplied by NCBI)
ACADSB		NM_001609	36
ACADVL		NM_000018	37
ACAN	MSK16, CSPG1, AGC1	NM_001135	176
ACAP1	CENTB1	NM_014716	9744
ACAP2	CENTB2	NM_012287	23527
ACAP2-IT1			100874306
ACAP3	CENTB5	NM_030649	116983
ACAT1	ACAT	NM_000019	38
ACAT2		NM_005891	39
ACBD3	GOLPH1, GOCAP1	NM_022735	64746
ACBD3-AS1		NR_146443	107985353
ACBD4		NM_024722	79777
ACBD5		NM_145698	91452
ACBD6		NM_032360	84320
ACBD7			414149
ACBP			
ACC			
ACCN			
ACCPN			
ACCS		NM_032592	84680
ACCSL		NM_001031854	390110
ACD		NM_022914	65057
ACE	DCP1	NM_000789	1636
ACE2			59272
ACE3P			100129123
ACER1	ASAH3	NM_133492	125981
ACER2	ASAH3L	NM_001010887	340485
ACER3	PHCA	NM_018367	55331
ACH			
ACHAP			
ACHE	YT	NM_015831	43
ACHM1	RMCH		
ACHM2			
ACHM3			
ACHRD			
ACHRG			
ACIN1	ACINUS	NM_014977	22985
ACKR1	FY, DARC	NM_002036	2532
ACKR2	CMKBR9, CCBP2	NM_001296	1238
ACKR3	CMKOR1, CXCR7	NM_020311	57007
ACKR4	CCRL1	NM_016557	51554
ACKR4P1	CCRL1P, CCRL1P1	XM_208346	285737
ACLS			46
ACLY		NM_001096	47
ACMG			
ACMSD			130013
ACNATP	BAATP1		347275
ACO1	IREB1	NM_002197	48
ACO2		NM_001098	50
ACOD1	IRG1	NM_001258406	730249
ACOT1		NM_001037161	641371
ACOT2		NM_006821	10965
ACOT4		NM_152331	122970
ACOT6	C14orf42	NM_001037162	641372
ACOT7		NM_007274	11332
ACOT8	PTE1	NM_183386	10005
ACOT9		NM_012332	23597
ACOT11	THEA	NM_015547	26027
ACOT12		NM_130767	134526
ACOT13	THEM2	NM_018473	55856
ACOX1			51
ACOX2		NM_003500	8309
ACOX3			8310
ACOXL		NM_018308	55289
ACOXL-AS1		NR_122074	400997
ACP1		NM_004300	52
ACP2		NM_001610	53
ACP4	ACPT	NM_033068	93650
ACP5			54
ACP6		NM_016361	51205
ACP7		NM_001004318	390928
ACPP		NM_001099	55
ACR		NM_001097	49
ACRBP		NM_032489	84519
ACRV1		NM_001612	56
ACS3			
ACSBG1		NM_015162	23205
ACSBG2		NM_030924	81616
ACSF2		NM_025149	80221
ACSF3		NM_174917	197322
ACSL1	FACL2	NM_001995	2180
ACSL3	FACL3	NM_004457	2181
ACSL3-AS1			105373904
ACSL4	FACL4, MRX63, MRX68	NM_004458	2182
ACSL5	FACL5	NM_016234	51703
ACSL6	FACL6	NM_015256	23305
ACSL6-AS1			101927693
ACSM1	BUCS1	NM_052956	116285
ACSM2A	ACSM2	NM_001010845	123876
ACSM2B	ACSM2	NM_182617	348158
ACSM3	SAH	NM_005622	6296
ACSM4		NM_001080454	341392
ACSM5		NM_017888	54988
ACSM5P1		NG_026352	100421779
ACSM6	C10orf129	NM_207321	142827
ACSS1	ACAS2L	NM_032501	84532
ACSS2	ACAS2	NM_018677	55902
ACSS3		NM_024560	79611
ACTA1	ACTA	NM_001100	58
ACTA2		NM_001613	59
ACTA2-AS1		NR_125373	100132116
ACTA3			
ACTB		NM_001101	60
ACTBL2		NM_001017992	345651
ACTBP1		NG_022596	643309
ACTBP2		NG_003019	62
ACTBP3			63
ACTBP4			64
ACTBP5			
ACTBP6		NG_008793	66
ACTBP7			67
ACTBP8		NG_000840	68
ACTBP9		NG_003162	69
ACTBP10			446207
ACTBP11			644220
ACTBP12	ACTGP5	NG_026958	100462767
ACTBP13			389120
ACTBP14		NG_022182	389976
ACTC1	ACTC	NM_005159	70
ACTG1	ACTG, DFNA20, DFNA26	NM_001614	71
ACTG1P1	ACTGP1, ACT1GP1	NG_001068	73
ACTG1P2	ACTL2, ACTGP2	NG_004636	74
ACTG1P3	ACTGP3	NG_000842	75
ACTG1P4	ACTGP4		648740
ACTG1P6	ACTGP6		78
ACTG1P7	ACTGP7		79
ACTG1P8	ACTGP8		80
ACTG1P9	ACTGP9	NG_001069	82
ACTG1P10	ACTL1, ACTGP10	NG_003039	83
ACTG1P11		NG_004636	414754
ACTG1P12			100418921
ACTG1P13			100418920
ACTG1P14		NG_023870	100418910
ACTG1P15			100418951
ACTG1P16			100418960
ACTG1P17			283693
ACTG1P18			100418924
ACTG1P19			644160
ACTG1P20			644961
ACTG1P21			100131291
ACTG1P22			100131953
ACTG1P23			442097
ACTG1P24	POTENP		441783
